polarity,word
3, ممتاز
3, رائع
3, مبهر
3, جميل
3, ساحر
3,أجمل
3,روعه
3,أسطورة
3,حبيته
3,حبيت
3,احبتتها
3,ممتاز
3,ممتازه
3,مهتمين
3,تعديلات 
3,ونيسه
3,اجابي
3,اجابيه
3,يمتاز
3,لازم
3,تزرونه
3,اعجبني
3,يشكرون 
3,يستمتعون
3,الإيجابيات
3,انصح
3,جذاب
3,رائعه
3,رائع
3,ممتاز
3,مهمه
3,جبار
3,الذ
3,تجنن
3,لطيف
3,اهتمام
3,خطيره
3,ممتاز
3,اشتقت
3,كفو
3,فوق 
3,اروق
3,استمتعت
3,يجننون
3,الاهتمام
3,لايفوته
3,خرافي
3,بيعجب
3,انبهرت
3,ماتندم
3,"استرخاء"
3,يهبل
3,تحفه
3,الحمدلله
3,مذهله
3,عشق
3,لايوصف
3,جماله
3,اشكر
3,عشقي
3,حب
3,ابداع
3,مطلق
3,جمال
3,فخامه
3,أكثر
3,تحب 
3,عريقه
3,خمس 
3,حلوة
3,رخيصه
3,مدهشه
3,لطافه
3,مذهل
3,ترحيب
3,المفضل
3,واسع
3,ظريف
3,احسن
3,بيعجبكم
3,انيق
3,ولااجمل
3,ولااروع
3,بطل
3,بطلة
3,أروع ما
3,ادمنت
3,منتهى 
3,فارهه
3,فخر
3,التوفيق
3,برافو
3,علية
3,المتعة
3,النجاح
3,تستحق
3,تعجبني
3,عجبتني
3,تفوقت 
3,توحفة
3,جربوها
3,جربوا
3,خطيرة
3,خطير
3,خورافية
3,عادي 
3,فريدة
3,مبهر
3,متقن
3,ملفت
3,ملك
3,مفيد
3,ذكي
3,جذبتني
3,ابهرتني
3,بحبها
3,سطوري
3,محبوب
3,يحبون
3,يحبونة
3,الخيال
3,تهبل
3,فظيعة
3,فظيع
3,خلوق
3,خلوقة
3,جبارة
3,اناقة
3,بيرفكت
3,استمتعنا
3,إحساس
3,شدني
3,بشوشين
3,بشوش
3,محترمين
3,الجميع
3,جذابة
3,كميه 
3,ارقي
3,كيفك
3,لايفوتك
3,يسنعونهم
3,سنع
3,يسنع
3,الافخم
3,حافل
3,متناهية
3,تمتاز
3,معلم
3,مميز
3,المعالم
3,عظيم
3,عظيمه
3,رائعين
3,لايفوتكم
3,ضروري
3,يحمس
3,يحمسون
3,لبق
3,ابدعوا
3,هيبه
3,اعشق
3,تفداك
3,تفز
3,يافخر
3,متفائله
3,عشقنا
3,باهر
3,ناجح
3,تستحقها
3,ماقصر
3,افرحت
3,عز
3,سرعه
3,ودود
3,ودودين
3,ودودون
3,جامد
3,فخم
3,فريد
3,مميزيين
3,يفضل
3,يفضلون
3,يهتم
3,الارتياح
3,مطورين
3,بينبسطون
3,رمزيه
3,لاابعد 
3,فرحوا
3,جمالها
3,تكمل 
3,تعدد
3,"ان شاء"
3,طوروها
3,ملموسه
3,رخصيه
3,صايره 
3,صاير 
3,بشده
3,واضحه
3,للامانه
3,ماتوقعته
3,ماتوقعت
3,بيعجب
3,متكامل
3,لاطوفكم
3,تلق
3,متحمس
3,ابتكار
3,تنبسط
3,خارق
3,مغرم
3,اندهش
3,ايجابيه
3,مبهجه
3,ترتاح 
3,ولا اروعه
3,مايفوت
3,ايجنن
3,بأمتياز
3,مذاق 
3,ابهرني
3,قيم 
3,تعبانين 
3,لايوصف
3,تعبانين 
3,روحو
3,عشر
3,اجمل 
3,بحقه
3,مايقال
3,بمعني
3,زيارات
3,لا مثيل
3,اذهلنا
3,محبوب
3,مااروعه 
3,مااجمله
3,يأسر 
3,حلوه
3,اجمل
3,ممتازة
3,روعة
3,رائعة
3,اجابية
3,تتميز
3,مهم
3,نظافتهم
3,اهتمامهم
3,استمتعنى
3,رخيصة
3,للتمشيه
3,للتمشية
3,احترافي
3,حماس
3,وبقوة
3,ولا غلطه
3,استمرو
3,عسل
3,حلال
3,ذوق
3,كثب
3,خصوصية
3,اتقان
3,الأصالة
3,راسخ
3,يسحرني
3,معشوقتي
3,مماتتصور
3,بروعه
3,"للاسترخاء"
3,أريحية
3,فنانه
2,اثرت
2,جاذبة
2,احببتها
2,رايقه
2,راقي
2,ملحوظه
2,نجاح
2,كثيره
2,مايتفوت
2,ماتتفوت
2,بأدق 
2,شرحه
2,احلي
2,ميزه
2,هادى
2,تصلح 
2,عجيب
2,واضح 
2,بنفس 
2,تنوع 
2,تقسيمها 
2,مزدهر
2,هادية
2,بشده
2,صراحه
2,نفسيا
2,مريح
2,انبسطت
2,متعوب 
2,تنوع
2,يابلاش
2,احترام
2,انبسطوا
2,مهيئة
2,امتع
2,ملهم
2,اعود
2,عميق
2,براحه
2,لذيذ
2,تغيرت
2,اربع
2,مجهود 
2,تسهيل
2,بدقه
2,اكثر 
2,متميز
2,متميزه
2,مميزه
2,يستاهل
2,خيالي
2,ماراح
2,حمسنا
2,يشرح 
2,روقان
2,شراحه
2,ماتنمل
2,ماتمل
2,اثري
2,"ماشاء"
2,تبارك
2,قمه 
2,انصحكم
2,حفظهم 
2,غني
2,تليق
2,يوضح
2,بكل 
2,يتميز
2,يثري
2,يرسخ
2,تشعر
2,تراثيه
2,كبيره
2,انطلاقه
2,شغف
2,ازدهار
2,بهجه
2,يتمني
2,الاستجمام
2,ذكرني
2,حبيتها
2,ادمان
2,رهيبة
2,وافي
2,وافى
2,كبيرة
2,كبير
2,الرائعه
2,انسجام
2,لا يوصف
2,متنوع
2,متنوعه
2,مختلفه
2,احب
2,ازين
2,لذيذه
2,مغامره
2,بيعجب
2,تغيير 
2,مرح
2,تنوع
2,بخاطرك
2,خاطرك
2,امان 
2,الروعة
2,احسن
2,"هدوء"
2,واو
2,نايس
2,اتقان
2,متنفس
2,راحة
2,عبقري
2,عبقرية
2,جميلة
2,المفضله
2,"الهدوء"
2,انبسط
2,تستاهل
2,تفتح 
2,توجد
2,فية 
2,فيها
